feature,perm_importance_rmse
speed_limit,0.08513133095453392
road_signs_present,0.0808919643401529
public_road,0.07623530729739172
holiday,0.026733364449213502
lighting=daylight,0.012078076723685554
road_type=rural,0.0002810024176716025
num_reported_accidents,0.00017349945781874182
curvature,5.914806090854957e-05
id,3.418565277673868e-05
school_season,3.164550429878288e-05
road_type=highway,2.8087457279050987e-05
num_lanes,1.369756061518762e-05
road_type=urban,-2.1030598941662593e-05
