feature,perm_importance_rmse
speed_limit,0.08643788081026721
road_signs_present,0.08143045590313719
public_road,0.07714822721858462
holiday,0.02681864213815141
lighting=daylight,0.012062392004835911
road_type=rural,9.86346162964405e-05
num_reported_accidents,7.810047172381457e-05
curvature,2.4189611763146544e-05
road_type=highway,1.4919111690969711e-05
school_season,6.025978095659801e-06
num_lanes,3.4394600567672075e-06
id,1.2033369288608208e-06
road_type=urban,3.856942502072913e-07
